Code,Term,Explanation
O-187,Asbāb Ṣūriyya,"formal causes/causes related to form,one of the four groups of causes of health and disease  which includes temperaments, faculties emerging from these temperaments and structures"
O-188,Asbāb Tamāmiyya,"final causes,one of the four groups of causes of health and diseases, which includes functions"
O-189,Asbāb ‘Āmma,"general causes,the causes which are common to many diseases"
O-190,Asbāb Maraḍiyya,"pathological causes,causes which are specifically responsible for creating pathological lesion/ disease"
O-191,Asbāb Badaniyya,"physical causes,causes related to body itself"
O-192,Asbāb Wāṣila,"interdependent causes or immediate causes,two causes occur at the same time for a disease and absence of either of these result in the end of the disease. e.g. sepsis in fevers"
O-193,Asbāb Sābiqa,"predisposing causes,causes that befall the body from within (repletion, starvation)"
O-194,Asbāb Bādiya,"causes that befall the body from outside (trauma, cold, heat),non-corporeal (out side the body) causes which produce corporeal states directly e.g. blow, atmospheric heat, hot or cold food or psychological factors like anger or fear"
O-195,Asbāb Dhātiyya,"essential causes,essential causes  usually intrinsic in nature"
O-196,Sabab ‘Arḍiyya,"dependant causes,the causes that are dependant on other causes"
O-197,Asbāb Mukhallifa,
O-198,Asbāb Ghayr Mukhallifa,
O-199,Asbāb Juz’iyya,"ancillary causes,the causes which are not basic in nature but arise out of certain basic causes"
O-200,Asbāb-i-Fasād-i-Shakl,
O-201,Asbāb-i-Sudda,"causes of obstruction,the causes that are responsible for obstruction, it may be inflammation/swelling of the tract or presence of any foreign body"
O-202,Asbāb-i-Ḍīq-i-Majārī,"causes of narrowing of tracts,the causes that are responsible for narrowing of the tract, it may be inflammation/ swelling of the tract or presence of any foreign body"
O-203,Asbāb-i-Ittisā‘-i-Majārī,"causes of dilatation of tracts,the causes that are responsible for dilatation of the tract may be weakening of the circular constricting fibres, increased eliminating power or drugs that dilate the tract temporarily"
O-204,Asbāb-i-Khushūnat,"causes of roughness,the causes that are responsible for roughness of the surface include the use of detergent, resolvent, dry or cold medicines, etc."
O-205,Asbāb-i-Malāsat,"causes of smoothness,the causes that are responsible for smoothness of the surface of the skin or mucous membrane include the use of demulcent substance, mild resolvent medicine, mild hot medicine that normalizes the coldness of the surface"
O-206,Asbāb-i-Khal‘,"causes of dislocation and displacement,the causes that are responsible for dislocation or displacement of the organs, includie increased tension/ pressure in the joint, rigorous movement or any condition that loosens the joint/ muscle etc."
O-207,Asbāb-i-Sū’-i-Mujāwirat,"causes of abnormal association between organs,the causes that are responsible for abnormal association such as stiffness, spasm, flaccidity of the adjacent organ or foreign body affecting the organ in contact"
O-208,Asbāb-i-Ḥarakāt Ghayr Ṭabī‘iyya,"causes of abnormal movements,the causes that are responsible for abnormal movement of an organ such as weakness, dryness, spasm or collection of morbid material in the organ"
O-209,Asbāb-i-Ziyādatī-i-Miqdār-i-A‘ḍā’,"causes of increase in size of organ,the causes responsible for increase in size include increased quantity of material due to increased absorption in the organ"
O-210,Asbāb-i-Ziyādatī-i-‘Adad-i-A‘ḍā’,"causes of increase in number of organ,the causes responsible for increase in number which is usually due to malformation"
O-211,Asbāb-i-Nuqṣān-i Miqdār-i-A‘ḍā’,"causes of decrease in size of organ,the causes that are responsible for decrease in  size of organ due to malformation, accidental loss or decaying by infection etc."
O-212,Asbāb-i-Nuqṣān-i ‘Adad-i-A‘ḍā’,"causes of decrease in size and number of organ,the causes that are responsible for decrease in number of organ may be malformation, accidental loss or decaying by infection"
O-213,Asbāb Mughayyara,
O-214,Asbāb-i-Tafarruq-i-Ittiṣāl,"causes of loss of continuity of the organs,causes of loss of continuity of organ include internal causes like, corrosive humour (as caseation and loss of tissue in leprosy) or excessive abnormal humour (accumulated in joints in arthritis) or may be due to external causes, that may include injury by sharp object, too hot object or heavy object etc."
O-215,Asbāb-i-Qarḥa,"causes of ulcer,causes of ulcer formation  may be bursting of inflammatory mass, pustule or abscess, pus formation in an injury, etc."
O-216,Asbāb-i-Waram,"causes of inflammation/swelling,causes of inflammation may be strong expulsive power of adjacent organ and weak retentive power of the affected organ. The causes of inflammation of organ may vary depending upon nature of the organ, texture of the organ, width of the passage or orifice which may be too narrow or too wide related to the organ, low position of outlet and small outlet, and increased heat in particular regions"
O-217,Asbāb-i-Waja‘,"causes of pain,causes of pain include sudden and temporary change in temperament or loss of continuity"
O-218,Asbāb-i-Sukūn-i-Waja‘,"causes that relieve the pain,causes that relieve the pain, include the removal of the cause of pain or increase in the moistness, inducing sleep, use of soothing and analgesic agents"
O-219,Asbāb-i-Ladhdhat,"causes of pleasure,causes of pleasure including sudden restoration of abnormal temperament and restoration of loss of continuity"
O-220,Asbāb-i-Iḥtibās,"causes of retention,weak expulsive faculty, strong retentive faculty which may result due to weakness of digestive faculty,  narrowing  and obstruction of passages and thickness, viscidity and increased amount of waste material"
O-221,Asbāb-i-Istifrāgh,"causes of evacuation,strong expulsive faculty, weak retentive faculty, matters causing injury by its excess quantity which produces heaviness, gaseous substances, distension, corrosive and acrid matters, dilution of matters and extended passage"
O-222,Asbāb-i-Tukhma-o-Imtilā’,"causes of indigestion and repletion,these include weakness of digestive faculty, weak evacuation power, strong retentive power, narrowing of ducts and channels, Ḥammām (Turkish bath/bath) after meal,  excess of repose and lack of exercise and movement"
O-223,Asbāb-i-Ḍu‘f-i-A‘ḍā’,"causes of weakness of organs,causes of weakness of organs may include persistent abnormal temperament especially cold abnormal temperament, weakness of texture of the organ especially of nerves, weakness of different faculties and presence of compound disease etc."
O-224,Al-Asbāb al-Sitta al-Ḍarūriyya,"six essential factors,factors of life including air, foods and drinks,  bodily movement and repose, mental activity and repose, sleep and wakefulness,  retention and evacuation which are essential for every living human being; and an imbalance in these factors lead to various disease conditions"
O-225,‘Ilāj bi’l Taghdhiya,"treatment with diet,treatment of diseases by manipulating and maintaining the dietary pattern depending upon the requirement of treatment of diseases"
O-226,Tark-i-Ghidhā’,"stopping/forbidding the diet,complete abstinence from the intake of food temporarily to facilitate the evacuation of morbid matter from the body commonly in the treatment of acute illnesses"
O-227,Taqlīl-i- Ghidhā’,"reducing/lessening the dietary intake,reducing/ lessening the intake of diet in order to conserve the power of digestive faculty"
O-228,Taqlīl-i-Ghidhā’ ba I‘tibār-i-Kammiyat,"reducing/ lessening the dietary intake quantitatively,reducing/ lessening the quantity of dietary intake but maintaining the nutritional requirement of the body"
O-229,Taqlīl-i- Ghidhā’ ba I‘tibār-i-Kayfiyat,"reducing/ lessening the dietary intake qualitatively,the quantity of diet in terms of nutritional value is reduced which decreases the production of humours and provides favourable medium for concoction of morbid matters"
O-230,Taqlīl-i- Ghidhā’ ba I‘tibār-i-Kammiyat-o- Kayfiyat,"reducing/ lessening the dietary intake qualitatively as well as quantitatively,the diet both in terms of quality and quantity is reduced particularly when faculties of body are not markedly disturbed"
O-231,‘Ilāj bi’l Dawā’,"treatment with drugs,it is the treatment of disease with the help of medicines/ drugs"
O-232,‘Ilāj bi’l Mufradāt,"treatment with single drugs,treatment of disease with single medicines e.g. herbal, mineral or animal origin"
O-233,‘Ilāj bi’l Murakkabāt,"treatment with compound drugs/ formulations,treatment of disease with compound drugs/ formulations e.g. tablets, syrups, powders and other semisolid dosage forms"
O-234,‘Ilāj bi’l Ḍidd,"method of treatment through heteropathy,one of the basic principles of treatment in Unani system of medicine in which the physician chooses the drugs, diets or any other mode of treatment having qualities opposite to the quality/temperament of the disease"
O-235,‘Ilāj Nafsānī,
O-236,Iṣlāḥ-i-Sū’-i-Mizāj,
O-237,Nuḍj,"the process of making the morbid matter/ humour easily evacuable,a process by which the morbid material matures and is made evacuable out of body. The drugs for Nuḍj(concoction) or the duration of Nuḍj(concoction) is specific to humoral morbidity"
O-238,Nuḍj-i-Akhlāṭ,"concoction/maturation of humours,the process by which the humours mature and is made evacuable from the body"
O-239,Nuḍj-i-Balgham,"concoction of phlegmatic humour,the process by which the phlegm humour matures and is made evacuable from the body"
O-240,Nuḍj-i-Ṣafrā’,"concoction of bilious humour,the process by which yellow bile matures and is made evacuable from the body"
O-241,Nuḍj-i-Sawdā’,"concoction of  black bilious humour,the process by which Black bile matures and is made evacuable from the body"
O-242,Istifrāgh,"evacuation of morbid matter/ humours from the body,induced evacuation of morbid matter/ humours from the body"
O-243,Tanqiya,"elimination of morbid matter/ humour from the body,induced elimination of morbid material from the body, usually done after proper concoction"
O-244,Tanqiya’-i-Dimāgh,
O-245,Tanqiya’-i-Sar,
O-246,Tanqiya’-i-Ṣadr,
O-247,Tanqiya’-i-Dandān,
O-248,Tanqiya’-i-Mi‘da,
O-249,Tanqiya’-i-Kabid,
O-250,Tanqiya’-i-Ṭiḥāl,
O-251,Tanqiya’-i-Am‘ā’,
O-252,Tanqiya’-i-Kuliya,
O-253,Tanqiya’-i-Majārī-i-Bawl,
O-254,Tanqiya’-i-Rīm,"removal of pus,principle of treatment of removal of pus from ulcers through drugs"
O-255,Tanqiya’-i-Murḍi‘a,
O-256,Imāla,"diverting/ attracting the morbid matter/ humour,diversion of morbid matter/ humour from the affected site to another site or increase in the flow of humours towards a specific site"
O-257,Imāla Qarīb,"diverting/ attracting the morbid matter/ humour towards an adjacent organ/ part of the body,diversion of morbid humours from the affected site towards the adjacent organs or parts of the body"
O-258,Imāla Ba‘īd,"diverting/ attracting the morbid matter/ humour towards distant organ/part of the body,diversion of morbid matter/ humour from the affected site towards a distant organ or part of the body"
O-259,Īlām,"to induce pain by any mean,the process to induce pain by any means like pressing or tying the organ or cupping of the organ, etc. performed to divert the morbid matter"
O-260,Tab‘īd-i-Maraḍ,"to shift the morbid matter,to shift the morbid material from diseased part to distant non vital part"
O-261,Ta‘dīl-i-Mawād,"moderation of matter,to bring morbid materials at normal/balanced condition"
O-262,Ta‘dīl-i-Qiwām,
O-263,Ta‘dīl-i-Dam,"moderation/ attempering of blood,to bring blood at normal consistency"
O-264,Ta‘dīl-i-Ṣafrā’,"moderation/ attempering of yellow bile,the process to bring yellow bile to its normal condition"
O-265,Ta‘dīl-i-Sū’-i-Mizāj,"moderation of the abnormal temperament,moderation of temperament or bringing the abnormal temperament to the normal temperament"
O-266,Tabdīl-i-Mizāj,
O-267,Izāla-i-Sabab,"removal of the cause,removal of the cause of the disease or treatment of the cause"
O-268,Man‘-i-Inṣibāb-i-Akhlāṭ,"to stop the infiltration or effusion of the humours,to stop the infiltration or effusion of the humours from one organ to another"
O-269,Taskhīn,"warming/to produce heat in the body/ part of the body,a method of treatment in which the heat is produced/ generated within the body by drugs or regimens"
O-270,Taskhīn-i-Mizāj,"producing warmth in case of  predominance of cold morbid temperament,a method of treatment in which the heat is produced/ generated within the body by drugs or regimens"
O-271,Taskhīn-i-Dimāgh,
O-272,Taskhīn-i-Sar,
O-273,Taskhīn-i-Qalb,
O-274,Taskhīn-i-Mi‘da,
O-275,Taskhīn-i-Fam-i-Mi‘da,
O-276,Taskhīn-i-Jigar,
O-277,Taskhīn-i-Am‘ā’,
O-278,Taskhīn-i-Kiliya,
O-279,Taskhīn-i-Mathāna,
O-280,Taskhīn-i-Raḥim,
O-281,Taskhīn-i-Ālāt-i-Manī,
O-282,Taskhīn-i-Aṭrāf,"warming the extremities,principle of treatment in which extremities are warmed through various means to divert the disease causing matter from the affected organs towards them"
O-283,Taskhīn-i-Hawā’,"increasing the room temperature of patient,principle of treatment advocated in case of cold morbid temperament"
O-284,Tabrīd,"cooling of the body/part of the body,a method of treatment in which coldness is produced/ generated or heat is reduced within the body by drugs or regimen"
O-285,Tabrīd-i-Mizāj,"producing cold in case of  predominance of hot morbid temperament,a method of treatment in which the cold is produced/ generated within the body by drugs or regimens"
O-286,Tabrīd-i-Dimāgh,
O-287,Tabrīd-i-Sar,
O-288,Tabrīd-i-Mi‘da,
O-289,Tabrīd-i-Fam-i-Mi‘da,
O-290,Tabrīd-i-Jigar,
O-291,Tabrīd-i-Ṭiḥāl,
O-292,Tabrīd-i-Unthayayn,
O-293,Tabrīd-i-Hawā’,"decreasing the room temperature of patient,principle of treatment advocated in case of hot morbid temperament"
O-294,Tarṭīb,"moistening of the body or the part of the body,the process of moistening of the body or the part of the body by drugs or regimen"
O-295,Tarṭīb-i-Mizāj,"producing moistness in case of  predominance of dry morbid temperament,a method of treatment in which the moistness is produced/ generated within the body by drugs or regimens"
O-296,Tarṭīb-i-Dimāgh,
O-297,Tarṭīb-i-Sar,
O-298,Tarṭīb-i-Ḥalaq,
O-299,Tarṭīb-i-Jigar,
O-300,Tarṭīb-i-Hawā’,
O-301,Iṭfā’,"the process of reducing the heat,the process of reducing the increased heat of the humours and organs"
O-302,Iṭfā’-i-Abkhira,
O-303,Tajfīf,"inducing dryness in the body or the part of the body,the process of producing dryness in the body or the part of the body"
O-304,Tajfīf-i-Dimāgh,
O-305,Tajfīf-i-Mi‘da,
O-306,Tajfīf-i-Kabid,
O-307,Tanshīf,"the process of producing dryness by absorbing the fluid from any part of the body,the process of producing dryness through absorption of fluids and other material from the body especially towards intestine as in case of Ishāl (purgation) by the action of drugs"
O-308,Talṭīf,"the process of refining/attenuation,the act of refining of any thick viscid matter"
O-309,Taḥlīl-i-Awrām,
O-310,Talyīn-i-Awrām,"the process of softening the inflammation,the process of softening the inflammation of hard organ/ inflammation associated with black bile"
O-311,Tafjīr-i-Awrām,"to induce rupture of pustular swelling,to induce rupture of an abscess through local application of drugs/regimen"
O-312,Taftīḥ-i-‘Urūq,"opening-up the blood vessels,the process of dilatation of the blood vessels either by using drugs having hot and wet temperament or by drugs that dissolve the thick substance blocking  the vessels"
O-313,Taftīḥ-i-Majārī,
O-314,Taftīḥ-i-Majārī-i-Kabid,
O-315,Taftīḥ-i-Majārī-i-Bawl,
O-316,Taftīḥ-i-Masām,
O-317,Takthīf-i-Masām,
O-318,Taftīḥ-i-Sudad,"opening/deobstructing,the process to remove any obstruction by using deobstruents"
O-319,Taṣfiya al-Dam,"purification/cleansing of blood,elimination of anything which is an addition in quantity or quality to the physiological composition of blood and considered as an impurity, by drug or any regimen"
O-320,Qaṭ‘-i-Mawād,"to cut out the morbid matter,cut out the morbid material to make it easily evacuable"
O-321,Tarqīq-i-Mawād,
O-322,Tarqīq-i-Mādda,
O-323,Jadhb-i-Mawād,"attracting the morbid matter,attracting the morbid matter from the affected site to another site. It is one of the objectives of Imāla"
O-324,Taghlīẓ-i-Mawād,"to thicken the morbid matter,making the thin morbid matter thick to facilitate its evacuation and prevent from absorption in other organs"
O-325,Izlāq-i-Mawād,"adsorption/lubrication of the surface of organ,the process of lubricating the surface of organ, e.g.,  intestine"
O-326,Rad‘-i-Mawād,"to repel the morbid material,the process that repels the morbid material from affected part"
O-327,Taḥlīl-i-Riyāḥ,"relieving of flatulence,the process which expels the flatus from the gastrointestinal tract"
O-328,Irkhā’,"to relax,relaxing the muscles which commonly results in pain reduction"
O-329,Taḥrīk-i-A‘ṣāb,"stimulation of nerves,the process which stimulates the nerves"
O-330,Taḥrīk-i-Dimāgh,
O-331,Taḥrīk-i-Ḥarārat Gharīzī,
O-332,Taqwiyat,"the process of toning up and strengthening of the organs and body,the process of toning up to enhance the functions and maintain the health of the human body by stimulating the metabolism, strengthening the internal organs and improving the body functions"
O-333,Taqwiyat-i-A‘ḍā’ Ra’īsa,"toning up of vital organs,the process that strengthens the vital organs i.e.. heart, brain and liver"
O-334,Taqwiyat-i-Dimāgh,"toning up of brain,the process that strengthens the brain"
O-335,Taqwiyat-i-A‘ṣāb,"toning up of nerves,the process which provides strength to the nerves"
O-336,Taqwiyat-i-Baṣar,"toning up and strengthening of the vision,the process which improves the eyesight"
O-337,Taqwiyat-i-Asnān-o-Litha,"toning up of gums and teeth,the process which binds the gums and strengthens the teeth"
O-338,Taqwiyat-i-Qalb,"toning up of heart,the process which tones up the heart and improves its function"
O-339,Taqwiyat-i-Kabid,"toning up of liver,the process which tones up the liver and improves its function"
O-340,Taqwiyat-i-Kuliya,"toning up of kidney,the process which strengthens the kidney and improves its function"
O-341,Taqwiyat-i-Mathāna,"toning up urinary bladder,the process which strengthens the bladder and improves its function"
O-342,Taqwiyat-i-Bāh,"toning up of the sexual power/ libido,the process which strengthens the genitals and improves its function"
O-343,Taqwiyat-i-Raḥim,"toning up of uterus,the process which strengthens the uterus and improves its function"
O-344,Taqwiyat-i-Sha‘r,"toning up of the skin to grow hair,the process which strengthens the skin to grow hair"
O-345,Taqwiyat-i-Sar,
O-346,Taqwiyat-i-Chashm,
O-347,Taqwiyat-i-Dandān,
O-348,Taqwiyat-i-Bekh-i-Dandān,
O-349,Taqwiyat-i-Mi‘da,
O-350,Taqwiyat-i-Fam-i-Mi‘da,
O-351,Taqwiyat-i-Ḥarārat Gharīzī,
O-352,Talṭīf-i-Qiwām,
O-353,Talṭīf-i-Mādda,
O-354,Talṭīf-i-Akhlāṭ,
O-355,Talṭīf-i-Ghidhā’,
O-356,Talṭīf-i-Tadbīr,
O-357,Taqwiyat-i-Rūḥ Nafsānī,
O-358,Taḥlīl-i-Mādda,
O-359,Taḥlīl-i-Riyāḥ,
O-360,Taḥlīl-i-Abkhira,
O-361,Inbāt-i-Sha‘r,"growing of the hair/trichogenesis,the process which increases the circulation of blood of the skin and helps in growing of the hair"
O-362,Takhdīr,"to induce loss of consciousness,a method of treatment in which the whole body or a part of it is reversibly anaesthetized through drugs"
O-363,Tanwīm,"inducing the sleep/to cause hypnosis,to induce sleep with the help of the drugs or regimens"
O-364,Taskīn,"(1)  to relieve the pain; (2) to produce the soothing effect; (3) to reduce the peristaltic movements,the term is used for (1) relieving any type of pain; (2) producing soothing effect in any local lesion; (3) causing anti diarrhoeal effect by reducing the peristaltic movement"
O-365,Taskīn-i-Mādda,
O-366,Taskīn-i-Ḥarārat,
O-367,Taskīn-i-Abkhira,
O-368,Taskīn-i-Dimāgh,"to cause sedation of the brain,the process that reduces the irritability or excitement of brain"
O-369,Taskīn-i-Qalb,
O-370,Taskīn-i-Akhlāṭ,
O-371,Taskīn-i-Waja‘,"analgesia,to relieve the pain by using drugs, changing temperament of the pain site or by some other means"
O-372,Ḥabs-i-Dam,
O-373,Man‘-i-‘Araq,"the process of reducing perspiration/sweating,the process of reducing perspiration/ sweating, required when there is excessive sweating"
O-374,Tanfīṭ,"to induce blister formation,the process to induce blister formation by hot fluid or by some drugs to increase the blood supply of a particular organ e.g. liniments used in male sexual debility"
O-375,Tanqiya-i-Qurūḥ,"cleaning of the wounds,cleaning of the infected wound with some drugs like blue vitriol"
O-376,Inbāt-i-Laḥm,"promotion of wound healing,promotion of wound healing by the use of desiccant drugs"
O-377,Qaṭ‘-i-Bāh,
O-378,Tahyīj-Shahwat,
O-379,Tawlīd-i-Laban,"to increase production of milk,the process of increasing production of milk by drugs e.g. seeds of cumin, onion, turnip and fennel seeds etc."
O-380,Tawlīd-i-Manī,"to increase the formation of semen,the process of increasing the formation of semen by quality diet and drugs e.g. asphaltum, asparagus racemosus, cotton seeds, salep etc."
O-381,Taghlīẓ-i-Manī,"to thicken the semen,the process of increasing the consistency of semen by some drugs/diets"
O-382,Imsāk-i-Manī,"to delay the ejaculation process,the process by which the ejaculation is delayed by using some drugs to treat premature ejaculation"
O-383,Taghlīẓ-i-Abkhira,
O-384,Idrār-i-Laban,
O-385,Idrār-i-Bawl,"to increase the urination,the process of increasing the urination by some drugs/diets"
O-386,Idrār-i-Ḥayḍ,"to increase the menstrual flow,the process of increasing the menstrual flow in case of amenorrhoea, dysmenorrhoea, etc. through drugs/regimens"
O-387,Taftīt-i-Ḥaṣāt,"the process of crushing the stone,the process of crushing the stone (usually renal/ureteric/vesicular), by some drugs/regimens"
O-388,Qatl-i-Dīdān,"killing of intestinal worms,the process to kill the intestinal worms by drugs called vermicide/anthelminthic"
O-389,Ikhrāj-i-Dīdān,"expulsion of intestinal worms,the process to expel out the intestinal worms by drugs called vermifuge"
O-390,Isqāṭ-i-Janīn,
O-391,Taqlīl-i-Laban,
O-392,Daf‘-i-Ta‘affun,"process of checking the infection,process to check or eradicate the infection"
O-393,Taqlīl-i-Ḥarārat,"reducing the temperature,the process to reduce the temperature (of the body), usually achieved by sweating or application of some cooling agents like cold water or by some drugs etc."
O-394,Taqlīl-i-Mādda,
O-395,Ta‘ṭīs,
O-396,Taqḍīf,"reducing the weight of the body or its part,the process to shed the body weight or to reduce the bulk of any part of the body/organ"
O-397,Tasmīn,"increasing the weight of the body or its part,the process to increase the body weight or the bulk of any part of the body/organ"
O-398,Talyīn-i-Am'ā',"softening of content of the intestine,the process to soften the intestinal content or to evacuate the excrement from intestine"
O-399,‘Ilāj bi’l Tadbīr,"regimenal therapy,regimenal therapy is modification in six essential factors (AAsbāb Sitta Ḍarūriyya), for the maintenance of health as well as for the management of diseases"
O-400,Ishāl,"evacuation of morbid matter from the body through intestines,evacuation of matter from the body through intestines as a regimen"
O-401,Qay’,"inducing the vomiting,to induce the vomiting as a regimen to evacuate the gastric contents"
O-402,Idrār,"to induce increased flow of urine or menstruation,to induce the increased flow of urine or menstruation as a regimen"
O-403,Tanfīth,"induced expectoration/ expulsion of sputum from the lungs,the regimen/drugs by which sputum is expelled out/ expectorated from the lungs"
O-404,Faṣd,"blood letting through vensection,blood letting through venesection is one of the mode of regimenal therapy for complete evacuation of morbid matter, leading to moderation of all humours"
O-405,Ḥijāma,"a mode of regimenal therapy in which horns (now a days cups) are used with or without scarification for diversion and evacuation of morbid matter from the blood.,a mode of regimenal therapy which is used for diversion or evacuation of the morbid matter from the body. It may be  without scarification or with scarification (blood letting). Previously the animal horns had been used but now a days metal/ plastic cups and small suction pump are used on the body surface to create the vacuum through suction for the diversion or evacuation of morbid matter."
O-406,Ḥijāma bi’l Sharṭ,"cupping therapy with scarification for blood letting,cupping therapy with scarification for blood letting to achieve local evacuation of morbid matter"
O-407,Ḥijāma bilā Sharṭ,"cupping therapy without scarification,cupping therapy without scarification, only application of cups with vacuum creation within it for diversion of morbid matter"
O-408,Ḥijāma bi’l Nār,
O-409,Ḥijāma bilā Nār,
O-410,Ḥijāma Mā’ī,"water cupping,cupping therapy along with warm water/ medicinal decoction while cupping"
O-411,Ta‘līq al-‘Alaq,"leech application,leech application as a regimen is one of the method of evacuation. It is specially useful at the site where venesection or hijamah is not done properly"
O-412,Ta‘rīq,"induced sweating,sweating as a regimen is usually done to remove morbid matter through skin"
O-413,Ḥammām,"bath/ turkish bath for therapeutic purpose,turkish bath, which is constructed as per specific guidelines, where the temperature of different rooms are different for therapeutic purpose like cleansing, reducing the viscosity of matter and elimination and diversion of morbid matter"
O-414,Ḥammām Ḥārr,"hot bath,in this type of bath, the person is kept in a high temperature, thus stay in hot and dry room as well as in hot and wet room is prolonged. Beneficial for spasms, pain in liver and kidney, and pain in joints"
O-415,Ḥammām Dawā’ī,"medicated bath,in this type of bath medicated water is used"
O-416,Ḥammām Būraqī,"borax bath,in this type of bath a little borax is mixed in the water"
O-417,Ḥammām Kibrītī,"sulphur bath,in this type of bath a little sulphur is mixed in the water. It is beneficial for different skin diseases etc."
O-418,Ḥammām Ramlī,"sand bath,in this type of bath part of the body or whole body up to neck is covered with sand. It is beneficial for ascites, arthritis, and frozen joints etc."
O-419,Ḥammām Baḥrī,"sea bath,taking bath in sea water, different kind of salts in sea water is beneficial for skin"
O-420,Ḥammām Shamsī,"sun bath,exposure to sunlight is often called sun bath. It is beneficial for different skin diseases and to tan the white skin"
O-421,Ḥammām Zaytī,"oil bath,in this type of bath some oil or some drugs dissolved in olive oil is massaged over the body"
O-422,Ḥammām Qābiḍ,"astringent bath,in this type of bath the water is used in which some strong astringent like alum is dissolved"
O-423,Riyāḍat,
O-424,Riyāḍat ‘Arḍiyya,"the exercise, which is not intentionally done,the exercise, which is not intentionally done but carried out as a part of profession like that of work of blacksmith"
O-425,Riyāḍat Khāliṣa,"exercise which is purely done intentionally for the particular purpose,exercise which is purely done for the purpose and intentionally in order to get benefits of exercise"
O-426,Riyāḍat Qalīla,"exercise for a shorter duration,exercise for a shorter duration, stopped soon after starting"
O-427,Riyāḍat Kathīra,"exercise for a prolonged duration,exercise that is not stopped sooner but continued for a longer duration"
O-428,Riyāḍat  Qawiyya,"rigorous/ extensive exercise,extensive/ rigorous exercise, usually done forcefully. This may lead to hardening of the organs, but sometimes may lead to excessive evacuation and lethargy"
O-429,Riyāḍat Ḍa‘īfa,"light exercise,light exercise, where much force is not used. It may be done by moving from one place to another etc."
O-430,Riyāḍat Sarī‘a,"rapid exercise,rapid/ fast exercise, where movement is done rapidly at a fast pace"
O-431,Riyāḍat Baṭī’a,"slow exercise,slow exercise, where movement is done at a slow pace"
O-432,"Riyāḍat
Ḥathītha",
O-433,Riyāḍat Mutarākhiya,"light and slow exercise,exercise which is done slowly and without much force"
O-434,Riyāḍat Mu‘tadila,"moderate exercise,moderate exercise, where force as well as movement is moderate"
O-435,Dalk,"therapeutic massage using multiple techniques from light, moderate to deep pressure,regimen involving manual manipulation of muscles, leading to elimination of metabolic waste"
O-436,Dalk Ṣulb,"deep and strong pressure massage,strong and extensive pressure massage in order to harden an organ"
O-437,Dalk Layyin,"soft handed lilght and gentle pressure massage,soft handed light and gentle pressure massage done in order to open up the channels/ vessels leading to softening of the organ"
O-438,Dalk Qalīl,
O-439,Dalk Kathīr,
O-440,Dalk Mu‘tadil,"moderate massage,massage, moderate in terms of force as well as time leading to healthy organs"
O-441,Dalk Khashin,"rough massage,rough massage, usually done with any rough cloth, it increases peripheral blood circulation excessively"
O-442,Dalk Amlas,"soft/ smooth massage,soft or smooth massage usually done with oil or soft cloth"
O-443,Dalk Isti‘dād,"massage done before exercise,the massage done before exercise as a preparatory measure"
O-444,Dalk Istirdād,"massage done after exercise,massage done after exercise, to relax the body/ organ and bring back to its normal condition"
O-445,Al-‘Amal bi’l Yad,"treatment with surgical interventions,treatment of diseases through surgical procedures"
O-446,Al-Kayy,"cautery,procedure of burning the skin or flesh to stop bleeding or avoid further putrefaction with the help of heated instrument or caustic substance"
O-447,Al-Kayy bi’l Nār,"actual cautery,procedure of cauterization with heated metals"
O-448,Al-Kayy bi’l Ḥadīd,"cauterization by iron,procedure of cauterization with heated iron"
O-449,Al-Kayy bi’l Dhahab,"cauterization by gold,procedure of cauterization with heated gold"
O-450,Al-Kayy bi’l Adwiya al-Muḥarriqa,"cauterization with caustics,procedure of cauterization with caustic substances"
O-451,Al-Shaqq,"incision,making of cut  into the body during surgical interventions"
O-452,Shaqq al-Awrām,"incision of swellings,surgical intervention of the swellings"
O-453,Baṭṭ al-Khurāj,"making incision over abscess,process of making incision over the abscess to drain the pus"
O-454,Baṭṭ al-Awrām,"perforation of swellings,rupture of a swellings"
O-455,Shaqq al-Ḥanjara,"laryngeal incision,procedure of making a cut into the larynx under the third or the fourth ring of trachea"
O-456,Ikhrāj al-Ḥaṣā,"extraction of stone,surgical procedure carried out to remove the  stone from urinary bladder"
O-457,Qaṭ‘ al-Aṭrāf,"amputation of limbs,procedure involving amputation of limbs affected by gangrene"
O-458,Nashr al-‘Iẓām,"sawing off bones,cutting a bone or piece from it"
O-459,Taṭhīr al-Ṣibyān,"circumcision,surgical procedure of removal of skin of prepuce"
O-460,Qaṭ‘ al-Dawālī,"cutting of varices,procedure of removal of twisted veins surgically"
O-461,Bazl al-Mā',"paracentesis,procedure to remove ascitic fluid"
O-462,Batr,"amputation,cutting or removal of the part of the body to control the disease process"
O-463,Al-Jabr,"bone-setting,art of the setting of the fracture or dislocation"
O-464,Radd al-Fakk,"reduction of dislocation,procedure of reduction of dislocated joints of body"
O-465,Al-Khiyāṭa,"suturing,surgical procedure, which involves the stitching of the edges of wound with the help of sutures"
O-466,Al-Tadbīr bi’l Ghidhā’,
O-467,Ghidhā’ Muṭlaq,"absolute diet,dietary substance, which becomes part of the body and does not produce any qualitative change such as heat, cold, etc."
O-468,Al-Ghidhā’ al-Mufrad,"single diet,diet, used  without the addition of other substances"
O-469,Al-Ghidhā’ al-Murakkab,"compound diet,diet prepared by the combination of many other substances"
