Code,Term,Explanation
JDC,Aiyam,
JDC1.1,Kapa Uḷaimāntai,"Intestinal tuberculosis caused by increased aiyam It is characterised by vomiting, vomitus with pus, emaciaition, giddiness, mild fever, ulcers and pallor. It is explained by the aggravtion of aiyam associated with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, moola iand sukkilam g"
JDD,Mukkuṟṟam,
JDD1.1,Tiritōṭa Uḷaimāntai,"Intestinal tuberculosis caused by derangement of Mukkutram It is characterised by throat pain, dyspepsia, depression, sleeplessness, itching and cough with expectoration, sputum with foul smelling. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, Mūḷai and sukkilam"
K,Uḷa Nōykaḷ,
KA,Piramai,
KAA,Vaḷi,
KAA1.1,Vāta Piramai,"Hallucination caused by increased Vali It is characterised by anorexia, hypersomnia, restless behaviour, wandering mind, lassitude, defective articulation, weight gain and impaired hearing. It is explained by increased vatham. Among the seven udarthathukkal Cāram ,Cennīr and Ūṉ get affected"
KAB,Aẕal,
KAB1.1,Pitta Piramamai,"Hallucination caused by increased Azhal It is characterised by bilious vomiting, belching, hiccough, excessive appetite and thirst even after intake of food and water, anger, disrespect attitude, blushing of face, eye, mouth and all over the body, looking differently and cruelly, talking contin"
KAC,Aiyam,
KAC1.1,Kapa Piramai,"Hallucination caused by increased Aiyam It is characterised by blackish discolouration of the body, dryness of mouth, tongue and teeth, loss of appetite and thirst and retraction of penis. It is explained by increased kapam. Among the seven udarthathukkal Cāram ,Cennīr and Ūṉ get affected"
KB,Kirikai,
KBA,Vaḷi,
KBA1.1,Vāta Kirikai,"Catatonic withdrawal with raising up and lying down It is characterised by unmindfull, remains dumb, rising and lying down suddenly, body is felt very chill due to hyperhydrosis, bruxism,unaware of environment, frequently shifting the place. It is explained by increased vatham. Among the seven udarthath"
KBA1.2,Nātavintu Kirikai,"Manica excitement with running like fugitive It is characterised by wandering in the streets, hug the females, embracing them showing aggressiveness on both sex, bump on some ones head, spitting on their face, smiling on seeing his relatives and shows hostile on unknown person, being cheeky on auda"
KBA1.3,Muṉaṅkal Kirikai,"Catatonic excitement with meanining less talking It is characterised by folding the fingers, never stretch them out crying with tears for every 24 minutes, non- staying in one place, never lie down, lighting fire on the house, sometimes laughing and moaning. It is explained by increased vatham. Among t"
KBA1.4,Valippu Kirikai,"Catatonic excitement with veins pounding It is characterised by lamentation, spasmodic tremor, engorgement of the veins, screaming, involuntary movements of the head, always crying, reddish discolouration of eyes, scratching the body, dribbling of saliva. It is explained by increased vatham. A"
KBA1.5,Pēypiṭi Kirikai,"Catatonic excitement with tearing their dresses It is characterised by screams, runaway to the crematorium, beating, dancing, calling the names of demen, tearing the cloth, biting others and hectic for blood, running away with meaningless cry, swallowing crematorium ash, crying lonely. It is explained"
KBB,Aẕal,
KBB1.1,Aṉaṟkirikai,"Chronic Schizophrenia with wilderness and run amack It is characterised by obeisance to the unknown men, roaming in low hills and barren land, picking the wasted food, nodding the head frequently, closing the mouth, disobedience, eating anything given, scratching the floor with nail, wetting the cloth by u"
KBB1.2,Pitta Kirikai,"Chronic Schizophrenia with nakedness and smear faeces It is characterised by the symptoms of exhibitionism, soiling the dress and body with faecal matter, rolling himself on the floor, spitting on self and the other persons. It is explained by increased pitham. Among the seven Uṭaṟtātukkaḷ Cāram get affect"
KBB1.3,Eccil Kirikai,"Chronic Schizophrenia with eating faeces and splashing water It is characterised by the symptoms of eating faecal matter, knocking the floor, spraying the water on his head with rejoice, eating ash, getting drenched under the rain, barking like a dog, blabbering and lamenting, making obeisance to the dog, eating t"
KBB1.4,Pūta Kirikai,"Chronic Schizophrenia with rolling in ashes and frothing in mouth It is characterised by confused state, biting other, wallowing on the ash, spray the slush over its head, singing, dancing and beating one who comes close to him, making cut injuries, making obeisance to the degraded persons and beating the honoured and"
KBB1.5,Jala Kirikai,"Chronic Schizophrenia with swimming in floor It is characterised by getting panic while approaching water, somersaulting frequently, always strolling in and out, tasting the pica, smiling and making obeisance on seeing the persons wearing ornaments and following them, insomnia. It is explained by i"
KBB1.6,Kal Eri Kirikai,"Chronic Schizophrenia with pelting stones and crying It is characterised by moaning with closed eyes, crying with throwing stones, get submerged in water, undressed, running frequently, uttering lies, biting the babies, hugging everybody appealing to them, appearing always naked, dribbling of saliva, linki"
KBB1.7,Kumpiṭu Kirikai,"Chronic Schizophrenia with saluting everyone It is characterised by symptoms like modesty to the fellow beings even on the creatures and serpents, taking more food, doing any work commanded by other expeditiously, beating the children and females and growling, improper walking, making obeisance to"
KBB1.8,Alaṟu Kirikai,"Catatonic withdrawal with purposeless yelling It is characterised by symptoms like closing his eyes and keeping his extremities unmoved crying as vaa (come) and poo(go), pinching himself tearing and damaging his clothes, repeating the words what once said, rarely takes the food but eats the turmeric"
KBB1.9,Maruṭ Kirikai,"Manica excitement with calling others and gulping water in excess It is characterised by symptoms like threatening by starring gaze, singing and uttering repeatedly the come, when he sees the persons, doing mockery and casting the attire, appears naked, drinking the water and beating the persons nearby, eating anything"
KBC,Aiyam,
KBC1.1,Cilēttumak Kirikai,"Catatonic withdrawal with yawning and shutting tears It is characterised by pallor conjunctiva, yawning, frequent lacrimation, tapping the floor with hand, blabbering, lamenting, doing antics, sleeping, hiding, when he sees someone get panic, if someone move closer he will immediately urinate in clothes, b"
KBC1.2,Mōkiṉik Kirikai,"Manica excitement with absuing others It is characterised by symptoms like scolding others, increased sexual secretions , smiling when seeing females, annoyed, aversion towards food, more likes to eat betel leaves, pallor body, speaks with sympathy as though to a familiar person, tears the c"
KBC1.3,Mūṭu Kirikai,"Catatonic withdrawal It is characterised by symptoms similar as delirum, chilled appearance with hyperhidrosis, lying unconscious without speech. It is explained by increased vatham, pitham and aiyam. Among the seven Uṭaṟtātukkaḷ all get affected."
KBC1.4,Nīrkuṭi Kirikai,"Manica excitement with gulping water in excess It is characterised by symptoms like drinking more water and vomiting, sunken eyes, less intake of food, sings, dances and whirls himself, draws lines on the floor, dislike towards food, wallow and rolling all the time. It is explained by derangement of"
KC,Kuṭi Veṟi Nōy,
KCB,Aẕal,
KCB1.1,Kuṭi Veṟi Nōy,"Alcoholism It is characterised by different symptoms in four stages due to habitual intake of fermented fruit drinks or toddy or arrack . In first stage, the person is excited, enthusiastic, state of happiness, sharp mind, retrieves the lost memory, feels warmth, en"
KD,Matāẕivu,
KDA,Vaḷi,
KDA1.1,Vaḷi Mataẕivu,"Psycological impairment with depletion of seven physical body constituents caused by derangement of It is characterised by disturbed sleep, dysponea, tremor, headache, bad dreams, perplexity, shivering, talking with dead persons and demons. It is explained by derangement of vatham. Among the seven Uṭaṟtātukkaḷ, Cāram get affected."
KDA1.2,Vaṉmaikēṭu Mataẕivu,"Psycological impairment with depletion of seven physical body constituents caused by emotional weakn It is characterised by severe pain in the vertex, chest and all over the body, lassitude, cough, thrist, vomiting and fever. It is explained by derangement of vatham and pitham. Among the seven Uṭaṟtātukkaḷ, Cāram get affected."
KDB,Aẕal,
KDB1.1,Aẕal Mataaẕivu,"Psycological impairment with depletion of seven physical body constituents caused by derangement of It is characterised by discolouration of the body (greenish yellow or colour of leaf juice), reddish discolouration of the chest and eyes, burning sensation, pyrexia, perspiration, lassitude, diarrhoea, thirst and perplexity. It is explained by derangemen"
KDC,Aiyam,
KDC1.1,Aiya Mataaẕivu,"Psycological impairment with depletion of seven physical body constituents caused by derangement of It is characterised by vomiting, vibratory feeling of chest, hypersomnia, oedema with swollen eruptions. It is explained by derangement of vatham and aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected."
KDC1.2,Uṭaṟkēṭu,"psycological impairment with depletion of seven physical body constituents caused by weakness of bod It is characterised by vomiting, dryness feeling of chest, hypersomnia and sluggishness, deteriorates the body rapidly. It is explained by derangement of vatham. Among the seven Uṭaṟtātukkaḷ, Cāram get affected."
KDD,Mukkuṟṟam,
KDD1.1,Mukkuṟṟa Mataaẕivu,"Psycological impairment with depletion of seven physical body constituents caused by derangement of It is characterised by disturbed sleep, dysponea, tremor, headache, bad dreams, perplexity, shivering, reddish discolouration of the chest and eyes, burning sensation, pyrexia, perspiration, lassitude, diarrhoea, thirst and perplexity, vomiting, vibratory"
KE,Mayakkanōy,
KEA,Vaḷi,
KEA1.1,Vaḷi Mayakkanōy,"Stupor caused by increased Vali It is characterised by loss of senses and memory, tremor, bruxism, blackish or sometimes reddish colouration of skin, fluttering and loss of lustre. It is explained by increased vatham. Among the seven Uṭaṟtātukkaḷ, Cāram, seneer, Ūṉ and Koẕuppu get affe"
KEB,Aẕal,
KEB1.1,Aẕal Mayakkanōy,"Stupor caused by increased Azhal It is characterised by yellowish discolouration of the eye, skin, sometimes pallor or reddish, slapping the floor with the hand, starring look, loss of memory, these symptoms appears first and then disappears early. It is explained by increased pitham. A"
KEB1.2,Kuruti Mayakkanōy,"Stupor caused by seeing blood letting It is characterised by symptoms like nausea, giddiness, blackouts, loss of senses, fall down like a wooden log after seeing the oozing blood and its smell. After falling down, increased sweating, inability to use hand and legs, pallor eyes. It is expla"
KEC,Aiyam,
KEC1.1,Aiya Mayakkanōy,"Stupor caused by increased Aiyam It is characterised by pallor eyes, face, nail and whole body, dribbling of saliva, wild and bad behaviour, these symptoms disappear very late. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram get affected."
KEC1.2,Nañcu Mayakkam,"Stupor caused by toxins It is characterised symptoms due to intake of toxic food or inhaling toxic air, causing tremors of hand and leg, blabbering speech, blackouts and stupor state. It is explained by increased pitham. Among the seven Uṭaṟtātukkaḷ Cāram get affected."
KED,Mukkuṟṟam,
KED1.1,Mukkuṟṟa Mayakkanōy,"Stupor caused by derangement of mukkutram It is characterised by senses and memory, tremor, bruxism, blackish or sometimes reddish colouration of skin, fluttering and loss of lustre,nausea, giddiness, blackouts, loss of senses, fall down like a wooden log after seeing the oozing blood and its s"
KF,Cerukku Nōy,
KFA,Vaḷi,
KFA1.1,Vaḷi Cerukku Nōy,"Arrogance with abundance of seven physical body constituents caused by derangement of Vali It is characterised by decreased physical strength, shrunken skin, dull face, hiccup, difficulty in breathing, decreased pulse, tremors in hand, leg and head, loss of sleep, pricking pain, hoarseness of voice, blabbering speech. It is explained by increa"
KFB,Aẕal,
KFB1.1,Aẕal Cerukku Nōy,"Arrogance with abundance of seven physical body constituents caused by derangement of azhal It is characterised by dryness of tongue, always feeling body warmth, sweating, giddiness, often fever, thirst, extensive diarrhoea, pallor. It is explained by increased Aẕal. Among the seven udarthadukkal Cāram and Cennīr gets affected."
KFB1.2,Kuruti Cerukku Nōy,"Arrogance with abundance of seven physical body constituents caused by infectve blood disorders It is caused by alcoholic addiction, characterised by redness of eye, giddiness, stupor state. It is explained by increased by Aẕal. Among the seven udarthadukkal, Cāram and Cennīr gets affected."
KFC,Aiyam,
KFC1.1,Aiya Cerukku Nōy,"Arrogancewith abundance of seven physical body constituents caused by derangement of Aaiyam It is characterised by weight gain, feeling heavy, feels chill, continuous vomit, loss of taste sensation, palpitation, laziness, excess sleep. It is explained by increased aiyam. Among the seven udarthadukkal, Cāram gets affected."
KFD,Mukkuṟṟam,
KFD1.1,Mukkuṟṟa Cerukku Nōy,"Arrogance with abundance of seven physical body constituents caused by derangement of Mukkutram It is charactised by decreased physical strength, shrunken skin, dull face, hiccup, difficulty in breathing, decreased pulse, tremors in hand, leg and head, loss of sleep, pricking pain, hoarseness of voice, blabbering speech, dryness of tongue, always"
KG,Cūtikavātam,
KGA,Vaḷi,
KGA1.1,Cūtikavātam,"Hysteria It occurs due to derangement of senses, loss of memory, depression leading to derangement of gnanenthraiyam. Occurs in two stages, acute and chronic. It is characterised by excessive body movements, excessive speech, sweating, blushing of face, vomiting,"
KH,Veṟi,
KHA,Vaḷi,
KHA1.1,Vaḷi Veṟi,"Insanity caused by increased Vali It is characterised by anorexia, liking towards chill food, unusal laughing, dancing, singing, crying and altered gait. It is explained by increased vali. Among the seven udarthadukkal, Cāram gets affected."
KHB,Aẕal,
KHB1.1,Aẕal Veṟi,"Insanity caused by increased Azhal It is characterised by loss of temper, scolding and angered speech, liking towards cool place and cold food items. It is explained by increased Aẕal. Among the seven udarthadukkal Cāram gets affected."
KHB1.2,Nañcu Veṟi,"Insanity caused by toxins It is characterised by loss of temper, scolding and angered speech, liking towards cool place and cold food items and is caused due to intake of toxic substances. It is explained by increased Aẕal. Among the seven udarthadukkal Cāram gets affected."
KHC,Aiyam,
KHC1.1,Aiya Veṟi,"Insanity caused by increased Aaiyam It is characterised by symptoms like more affinity towards female, feeling sleepy, loss of taste sensation, increased secretions in the mouth, dribbling of saliva, pallor, disability to work, altered speech. It is caused due to excess intake of aiyam incr"
KHC1.2,Cōka Veṟi,"insanity caused by depression It is characterised by irrelevant speech, laugh, speaking openly and caused due to loss of wealth, loss of spouse or children, sudden fear. It is explained by increased Aẕal. Among the seven udarthadukkal Cāram gets affected."
KHD,Mukkuṟṟam,
KHD1.1,Mukkuṟṟa Veṟi,"Insanity caused by derangement of mukkutram It is characterised by anorexia, liking towards chill food, unusal laughing, dancing, singing, crying and altered gait, loss of temper, scolding and angered speech, feeling sleepy, loss of taste sensation, increased secretions in the mouth, dribbling of"
L,Irutaya Nōykaḷ,
LA,Kuruti Aẕal Nōy,
LAA,Vaḷi,
LAA1.1,Vaḷi Kurutiyaẕal Nōy,"Haematological disorder /bleeding disorder due to vali with dry hard stools and bleeding per anum It is characterised by generalised bodyache, bleeding which is dark in colour, uncontrolled bleeding, sometimes frothy in nature, constipation and passing stools similar to goats excreta with tenesmus, bleeding per rectum. It is explained by increased v"
LAA1.2,Vaḷitī Kurutiyaẕal Nōy,"Haematological disorder /bleeding disorder due to vali thee kuttram It is characterised by generalised bodyache, bleeding which is dark in colour, uncontrolled bleeding, sometimes frothy in nature, constipation and icteric look. Among the seven udarthadukkal, Cāram to Cennīr is affected."
LAA1.3,Vaḷi Aiya Kurutiyaẕal Nōy,"Haematological disorder /bleeding disorder due to vali Iya kutram It is characterised by bleeding which is dark in colour, uncontrolled bleeding, sometimes frothy in nature, constipation and passing stools similar to goats excreta with tenesmus, bleeding per rectum, bleeding which is pale,with mucus,bad odour. Among"
LAB,Aẕal,
LAB1.1,Tīkkurutiyaẕal Nōy,"Haematological bleeding disorder due to thee with yellowish discoloration of the body It is characterized by bleeding, subsequently uncontrolled bleeding occurs, the nature of blood expelled is in the hue of soaken dried leaf, ocassionally, bleeding is admixture of bile, hence pallor of the body and yellowish discoloration, eyes, tongue, s"
LAC,,
LAC1.1,Aiya Kurutiyaẕal Nōy,"Haematological bleding disorder due to aiyam with blood stained sputum It is characterized by bleeding which is pale, with mucus, bad odour, dense in nature, continuous cough, mild fever, rhinitis . It is explained by increased aiyam and Aẕal. Among the seven udarthadukkal, Cāram to Cennīr is affected."
LAC1.2,Aiyavaḷi Kurutiyaẕal Nōy,"Haematological bleding disorder due to iyavali kuttram It is characterised by bleeding which is pale, with mucus, bad odour, dense in nature, continuous cough, mild fever, rhinitis, generalised bodyache, bleeding which is dark in colour, uncontrolled bleeding, sometimes frothy in nature, constipation . Amon"
LAC1.3,Aiya Aẕal Kurutiyaẕal Nōy,"Haematological/bleding disorder due to iya azhal kuttram It is characterised by bleeding which is pale, with mucus, bad odour, dense in nature, continuous cough, mild fever, rhinitis, eyes, tongue, skin attains greenish hue, has icteric look . Among the seven udarthadukkal, Cāram to Cennīr is affected."
LAD,Mukkuṟṟam,
LAD1.1,Mukkuṟṟa Kurutiyaẕal Nōy,"Haematological bleding disorder due to vali, thee and iya kuttram.fatal It is characterised by signs & symptoms of Sanni noi. It is intractable. It can be explained by derangement of mukkutram.Among the seven udarthadukkal Cāram to veneer may get affected."
LB,Tamaraka Nōy,
LBA,Vaḷi,
LBA1.1,Vāta Tamaraka Nōy,"Cardiac disease due to vali with throbbing, constricting pain It is a disease condition characterized by pallor of face, facial edema, heaviness over the chest with pain,palpitation, phlegm in the throat.If chronic, heaviness in the chest, dyspnoea, continuous cough, vomiting may occur. This condition is caused d"
LBB,Aẕal,
LBB1.1,Pitta Tamaraka Nōy,"Cardiac disease due to pitha withvomitting,giddiness,profuse sweating,shock It is a disease condition characterized by angina,excruciating unbearable pain,giddiness, unconsciousness.Also,dryness of mouth, hypersalivation, constriction in the throat,sweating occurs as a acute onset. It occurs during pitha kalam (phase of life)"
LBC,Aiyam,
LBC1.1,Kapa Tamaraka Nōy,"Cardiac disease due to kapha with congestion and heaviness in the chest It is characterised by acute constricting chest pain, throbbing pain in the central chest region,severe dyspnoea,causing fear of impending death.Angina, pain radiating to hand ,malaise,chillness of the extremity,numbness,acute dyspnoeic condition.Also, fo"
LBD,Mukkuṟṟam,
LBD1.1,Mukkuṟṟa Tamaraka Nōy,"Cardiac disease due to kapha with congestion and heaviness in the chest It is characterised by fever,headache,generalised bodyache, arthralgia,frequent unconsciousness,chest pain, and palpitation.If this condition occurs as complication of iyavali suram ,hyperhidrosis,muttering & stupor and fatal.This can be explained by der"
M,Iṉapperukka Nōykaḷ,
MA,Āṇ Malaṭu,
MAA,Vaḷi,
MAA1.1,Āṇ Malaṭu,"Male Infertility It is characterized by male infertility due to hypospermia, immotile sperm or azoospermia . It is explained by decreased of vali . Among seven udarthadukkal, Cāram , Cennīr , Ūṉ , kozhupu , Eṉpu , Mūḷai and Cukkilam are affected."
MB,Peṇ Malaṭu,
MBA,Vaḷi,
MBA1.1,Kāka Malaṭu,"Sterility after double child birth It is characterized by female infertility after having two offsprings. It is explained by decreased vali . Among seven udarthadukkal, Cāram , Cennīr , Ūṉ , kozhupu , Eṉpu , Mūḷai and Cukkilam are affected."
MBA1.2,Kataḷi Malaṭu,"Sterility after single child birth It is characterized by infertility due to amenorrhea after having a single offspring . It is explained by increased vali . Among seven udarthadukkal, Cāram , Cennīr , Ūṉ , kozhupu , Eṉpu , Mūḷai and Cukkilam are affected."
MBA1.3,Cutta Malaṭu,"Sterility It is characterized by primary female infertility along with obesity . It is explained by increased vali . Among seven udarthadukkal , Cāram , Cennīr , Ūṉ , kozhupu , Eṉpu , Mūḷai and Cukkilam are affected."
MC,Puṇarcci Nōykaḷ,
MCB,Aẕal,
MCB1.1,Puṇarcci Vali,"Pain during intercourse It is characterized by dyspareunia due to abcess or inflammation in the vagina. It is explained by increased of Aẕal . Among seven udarthadukkal , Cāram , Cennīr , and Ūṉ are affected."
MD,Āṇkuṟi Nōykaḷ,
MDA,Vaḷi,
MDA1.1,Tāmaraikkāyttaṭippu,
MDA1.2,Timirkkuṟi Nōy,
MDB,Aẕal,
MDB1.1,Eri Puṇ,
MDB1.2,Kaṭuku Koppuḷam,
MDB1.3,Karippuṇ,
MDB1.4,Kaṟppuṇ,
MDB1.5,Karumaruḷ Tiraṭcippuṇ,
MDB1.6,Nerukkukiranti,
MDB1.7,Ūṇ Aẕippuṇ,
MDB1.8,Paravu Kaṭṭippuṇ,
MDB1.9,Piḷappupuṇ,
MDB1.10,Cenniṟak Koppuḷam,
MDB1.11,Ciṟu Koppuḷappuṇ,
MDB1.12,Tōl Aẕippuṇ,
MDB1.13,Tōl Taṭaippuṇ,
MDB1.14,Tuḷaippuṇ,
MDB1.15,Varicaippuṇ,
MDB1.16,Vīral Koppuḷam,
MDC,Aiyam,
MDC1.1,Ilantaikkāykaṭṭi,
MDC1.2,Ūṇniṟakkaṭṭi,
MDC1.3,Ciṟumuḷai,
MDC1.4,Veṇmēkappuṇ,
ME,Vitai Nōykaḷ,
MEA,Vaḷi,
MEA1.1,Kuṭal Vitai Nōy,"Direct Inguinal Hernia It is characterized by the abdominal parts or part of the intestine enters through a weak point in the fascia of the abdominal wall to scrotum via inguinal canal. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ gets a"
MEA1.2,Kumuṟal Vitai Nōy,"Indirect Inguinal Hernia It is characterized by theabdominal part or part of the intestine protrudes through the inguinal ring with pricking pain. It is explained by increased vali. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ gets affected."
MEC,Aiyam,
MEC1.1,Nīr Vitai Nōy,"hydrocele due to increased aiyyam It is characterized by the accumulation of the fluid in the testicle with fever. It is explained by increased aiyyam. Amoung the seven udal thathukkal Cāram, Cennīr gets affected."
MEC1.2,Cataivitai Nōy,"elephantiasis of the scrotum It is characterized by the accumulation of the fluid or tissues in the testicle with fever caused by lymphatic filariasis. It is explained by increased aiyam. Amoung the seven udal thathukkal Cāram, Cennīr, Ūṉ gets affected."
N,Kaṇ Nōykaḷ,
,Itara Kaṇ Nōykaḷ,
NAA,Vaḷi,
NAA1.1,Ukkira Rōkam,"Wheal like inflammation around the eyes with lacrimation and itching It is characterised by wheel like inflammation around the eyes with lacrimation, burning sensation, itching and blurring vision. It is explained by increased of vali ( nagan and koorman) and Aẕal( aalosaga Aẕal) and aiyam ( tharpagam). Among the seven ud"
NAA1.2,Cāykaṇ Kuruṭu,"Deviation of eye towards right or left side with redness and watery discharge It is characterised by spasm of facial muscles leading to deviation of eye, mouth, nose and tongue towards either right or left side with redness and lacrimation and delayed healing. It is explained by increased vali ( nagan and koorman) and aiyam (thar"
NAA1.3,Tūyakaṇ Kuruṭu,"Stabbing pain in the sclera with blindness It is characterised by stabbing pain in the sclera and irritation of the eyes. In this condition, cornea appears to look normal but there will be complete blindness. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal) . Among t"
NAA1.4,Cuẕal Vaṇṭerital,"Vitreous opacities with black specks floating before the eyes It is characterised by flashes of light and floating spots strings, greater sensitivity and blurring of vision. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected."
NAA1.5,Cōtikāviraṇam,"Corneal ulceration It is characterised by corneal ulceration, lacrimation and sensitivity to light. In this condition, the centre of the eye mimics crabs eye. It is explained by increased of vali (nagan and koorman) , Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the se"
NAA1.6,Paṭikuntam,
NAA1.7,Pukaiccal,"Multiple vision, sensitivity in eyes, itching in the eyelids with blackouts It is characterised by loss of visual acuity or blurring of visual perception, sensitivity in eyes, itching in the eyelids with loss of colour acuity. It is explained by increased vali (naagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udarth"
NAA1.8,Cevvēr,"Shrunken eye with redness, photophoia, watery discharge itching in the outer canthus associated wit It is characterised by redness of scleral region, inflammation of the eyelids associated with chronic eye irritation, watery eyes, foreign body sensation, sensitivity to light, severe head ache and pruritis in the lateral canthus of the eyes. It is explai"
NAA1.9,Kuvaḷai Nerittal,"Pain over eyebrows and forehead, throbbing pain in the eye, severe head ache It is characterised by pain over eyebrows and forehead, throbbing pain in the eye, severe head ache. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu and Mūḷa"
NAA1.10,Pakkappaṭuvaṉ,"Pus discharge from the sclera It is characterised by red eyes, inflammation of sclera with stinging pain, abscess, cellular infilItration and pus discharge. It is explained byincreased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr g"
NAA1.11,Veṇṇērkkāṭu,"Sensitity and pain eyes with watery discharge, mild redness, photophobia during moolight It is characterised by hypersensitivity to light and pain in the eyes with lacrimation, mild redness, loss of vision and burning sensation of body. It is explained by increased vali (nagan and koorman), Aẕal (aalosagam) and aiyam (tharpagam). Among the"
NAA1.12,Vitaṉa Mantāram,"Stabbing pain in the eyes and around the eyes.painful retraction of upper eyelid, fever with chill, It is characterised by throbbing pain around the eyes,painful retraction of upper eyelid, fever with chill, dryness of mouth, thirst , lacrimation and rheum from the eyes. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). A"
NAA1.13,Cuṭar Pala Tōṉṟal,"Multiple vision, blue coloured vision, painful vision with irritation in the lower eyelid, headache It is characterised by distorted blue tinted vision, painful vision with irritation in the lower eyelid and headache with disturbed sleep. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram"
NAA1.14,Puttiyaẕittal,"Inability to rotate the eyeball due to papules in the inner lower eyelid. It is characterised by diplopia, cloudy vision, grittiness in eye, loss of vision and retraction of eyebrows during exertion. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ,"
NAA1.15,Poṅkiya Vitaṉam,"Inflammatory swelling with whitish discharge of the eye It is characterised by swelling of eyes, mucus discharge of eyes, burning sensation, heavy discharge of eyes and body pain. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). In udarthadukkal Cāram and Cennī"
NAA1.16,Cantira Rōkam,"Fleshy growth in the eye with watery discharge. Inability to open the eyes It is characterised by fleshy tissue growth on the conjunctiva, with lacrimation, inabilIty to rotate the eyes and pain in the eyebrows while looking upwards. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven"
NAA1.17,Kūci Viẕittal,"Irritation of the eye due to dust It is characterised by soft tissue growth over the eyes with green tinged vision, mucosal and lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu and M"
NAB,Aẕal,
NAB1.1,Akkirarōkam,"Heaviness of upper eyelid with watery discharge It is characterised by heaviness of upper eyelid with watery and mucosal discharge along with pinkish appearance of face. It is explained by increased vali (nagan and koorman) , Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal C"
NAB1.2,Avikāya Viraṇam,"Pruritus of eye with blinking of eyelids It is characterised by pruritus of eyes, mouth, nose, ears and blinking of eyelids, heaviness of eyes, stinging pain, muosal discharge from eyes and insomnia is seen. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among th"
NAB1.3,Kaṇ Tiṉavu,"Allergic conjuctivitis with watery discharge and burning discharge It is characterised by allergic conjuctivItis with lacrimation, burning sensationalong with pink eyes, itching , cloudy appearance and insomnia. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udarthadukkal"
NAB1.4,Aṉṉa Kōpam,"Redness of eye with watery discharge, burning sensation It is characterised by redness of eye with lacrimation, burning sensation and foreign body sensation. It is explained by increased vali (nagan and koorman), (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal Cāram and Cennīr gets affec"
NAB1.5,Maruvu Kaṇ Civappu,"Redness of eye with headache and emaciation It is characterised by redness of eye with lacrimation, heaviness of the eyes, headache, belching and emaciation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affecte"
NAB1.6,Eriviẕi Maẕuṅkutal,Heaviness of eyes with watery discharge It is characterised by heaviness of eyes while seeing sunlight and lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected.
NAB1.7,Mataṉamantāram,"Redness,itching,pricky pain of eyes It is characterised by pricking pain in eyes, mucos discharge, foggy vision, redness, itching, pricky pain of eyes. It is explained by increased vali (nagan and koorman) , Aẕal( aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal Cāram and"
NAB1.8,Kaṇ Viraṇam,"Ulcers around the eyes, redness and itching over the eyelids associated with insomnia It is characterised by ulcers around the eyes, redness and itching over the eyelids associated with insomnia. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected."
