Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
ED-4.4.2,raktagatakuShThaH,रक्तगतकुष्ठः,-,"the disorder is characterized by tvak-svāpaḥ [numbness at the site], rōmaharṣaḥ [horripilation], svēdābhipravartanam/svēdātipravartanam/svēdaḥ [excessive sweating], kaṇḍūḥ [itching], vipūyakaḥ [putrid suppuration], śvayathuḥ [oedema]",kuṣṭha afflicting rakta
ED-4.4.3,mAMsagatakuShThaH,मांसगतकुष्ठः,-,"the disorder is characterized by bāhulyam [large circular patches], vaktraśōṣaḥ [dryness of mouth], kārkaśyam [roughness], piḍakōdgamaḥ [appearance of eruptions], tōdaḥ [pricking pain], sphōṭāḥ [blisters], sthiratvam [fixity], pāṇyāśritasphōṭāḥ [blisters on palms], pādāśritasphōṭāḥ [blisters on sole], sandhiṣu adhikaṁ klēdaḥ [discharge, secretion at joint places]",kuṣṭha afflicting māṁsa
ED-4.4.4,medogatakuShThaH,मेदोगतकुष्ठः,-,"the disorder is characterized by daurgandhyam [bad odour], upadēhaḥ [rheum], pūyaḥ [pus formation], krimisaṁbhavaḥ [production of maggots], gātrāṇāṁ bhēdanam [breaking pain in body], kauṇyam [falling off of the fingers and toes], gatikṣayaḥ [restricted movements of the limbs], aṅgānāṁ dalanam [putrifaction], saṁbhēdaḥ [tearing sensation], kṣatasarpaṇam [spreading of the lesions]",kuṣṭha afflicting mēdas
ED-4.4.5,asthigatakuShThaH,अस्थिगतकुष्ठः,-,"the disorder is characterized by nāsābhaṅgaḥ [depression of nasal bridge], akṣirāgaḥ/nētrarāgaḥ [redness in the eyes], krimisaṁbhavaḥ (kṣatēṣu ) [production of maggots in the lesion], svarōpaghātaḥ [loss of speech], svarakṣayaḥ [diminution of voice/loss of voice]",kuṣṭha afflicting asthi
ED-4.4.6,majjAgatakuShThaH,मज्जागतकुष्ठः,-,"the disorder is characterized by nāsābhaṅgaḥ [depression of nasal bridge], akṣirāgaḥ [redness in the eyes], krimisaṁbhavaḥ (kṣatēṣu ) [production of maggots in the lesion], svarōpaghātaḥ [loss of speech], svarakṣayaḥ [diminution of voice/loss of voice]",kuṣṭha afflicting majjā
ED-4.4.7,SukragatakuShThaH,शुक्रगतकुष्ठः,-,"the disorder is characterized by kauṇyam [falling off of the fingers and toes], gatikṣayaḥ [restricted movements of the limbs], aṅgānāṁ sambhēdaḥ [tearing sensation of the limbs], kṣatasarpaṇam [spreading of the lesions], prāguktalakṣaṇāni [clinical features mentioned as above/earlier], dārābādhanam [affliction to spouse], apatyabādhanam/apatyaṁ bhavati kuṣṭhitam [affliction to progeny]",kuṣṭha afflicting śukra
ED-4.5,asAdhyakuShThaH,असाध्यकुष्ठः,-,"the disorder is characterized by sarvaliṁgairyutatvam [clinical features of all types of dōṣa], abalatvam [lack of strength], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], śāntāgniḥ [loss of digestive power], jantujagdham [affected with worms], sarvadōṣōlbaṇatā [predominance of all three dōṣa], riṣṭōktalakṣaṇayuktam [associated with fatal signs], asthisamāśrayam [involving asthi dhātu], majjāsamāśrayam [involving majjā dhātu], śukrasamāśrayam [involving śukra dhātu]",incurable kuṣṭha
ED-4.6,kuShTha-upadravaH,कुष्ठ-उपद्रवः,-,"the disorder is characterized by prasravaṇam [discharge], aṁgabhēdaḥ [cracking of skin/body parts], aṁgāvayavānāṁ patanam [suppuration, falling of body parts], tr̥ṣṇā [thirst], jvaraḥ [fever], atisāraḥ [diarrhoea], dāhaḥ [burning sensation], daurbalyam [weakness], arōcakaḥ [tastelessness], avipākaḥ [indigestion]",complications of kuṣṭha
ED-4.7,kuShTha-ariShTaH,कुष्ठ-अरिष्टः,-,-,fatal signs of kuṣṭha
ED-5(SN4D),SvitraH,श्वित्रः,-,-,Leucoderma (TM2)
ED-5.1,vAtika-SvitraH,वातिक-श्वित्रः,-,"the disorder is characterized by maṇḍalam [circular patches], aruṇam [slightly reddish coloured], paruṣam [rough/dry], paridhvaṁsi [ruining], rūkṣam [dry]",śvitra due to vāta
ED-5.2,paittika-SvitraH/kilAsaH,पैत्तिक-श्वित्रः/किलासः,-,"the disorder is characterized by padmapatrapratīkāśam/kamalapatravat [like the petals of a lotus], saparidāhaḥ [burning sensation], tāmraḥ [copper coloured], dāhaḥ [burning sensation], rōmavidhvaṁsanam [loss of hairs]",śvitra due to pitta
ED-5.3,kaPajaSvitraH/kilAsaH,कफजश्वित्रः/किलासः,-,"the disorder is characterized by śvētaḥ [whitish discoloration], snigdhaḥ [smooth/unctuous /oily], bahalaḥ [large in size], kaṇḍūḥ [itching], ghanaḥ [thick and dense lesion], guruḥ [heaviness]",śvitra due to kapha
ED-5.4,raktajaSvitraH-daruNaH,रक्तजश्वित्रः-दरुणः,-,the disorder is characterized by raktavarṇaḥ [red colour],śvitra due to rakta
ED-5.5,mAMsajaSvitraH-cAruNaH,मांसजश्वित्रः-चारुणः,-,the disorder is characterized by tāmravarṇaḥ [coppery colour lesions],śvitra due to māṁsa
ED-5.6,medojaSvitraH,मेदोजश्वित्रः,-,the disorder is characterized by śvētavarṇaḥ [white colour lesions],śvitra due to mēdas
ED-5.7,asAdhyakilAsa,असाध्यकिलास,-,"the disorder is characterized by sambaddhamaṇḍalam [non overlapping lesions], antējātam [lesions developing on extremities, lips etc.], raktarōmaḥ [in which the terminal hairs are red], agnidagdhajanyaśrvitram [those which developed after burns]",Incurable śvitra
ED-6,masUrikA,मसूरिका,-,"the disorder is characterized by masūrākr̥ti-piḍakā [lentil form pustules on skin], masūrasaṁsthāna-piḍakā [lentil size pustules on skin]",smallpox
ED-6.1,masUrikApUrvarUpam,मसूरिकापूर्वरूपम्,-,"the disorder is characterized by jvaram [fever], kaṇḍūḥ [itching], gātrabhaṅgaḥ [breaking pain in body], aratiḥ [distress/dicontent/restlessness], bhramaḥ [giddiness or dizziness], tvaci śōthaḥ [oedema on skin], vaivarṇyam [discolouration], nētrarāgaḥ [redness of eyes]",prodromes of masūrikā
ED-6.10,rOmAMtikA,रोमांतिका,-,-,measles
ED-6.2,vAtajamasUrikA,वातजमसूरिका,-,"the disorder is characterized by śyāva-sphōṭaḥ [blackish eruptions], aruṇa-sphōṭaḥ [slightly reddish eruptions], rūkṣa-sphōṭaḥ [dry eruptions], tīvravēdanā (sphōṭaḥ) [severe pain], kaṭhina-sphōṭaḥ [hard eruptions], cirapākaḥ [take a long time to suppurate], sandhi-bhēdaḥ [breaking/splitting pain in joints], asthi-bhēdaḥ [breaking/splitting type of pain in the bones], parva-bhēdaḥ [breaking type of pain in small joints], kāsaḥ [cough], kampaḥ [tremors], aratiḥ [distress/dicontent/restlessness], klamaḥ [exhaustion without exertion], tālu-śōṣaḥ [dryness of palate], ōṣṭha-śōṣaḥ [dryness of the lips], jihvā-śōṣaḥ [dryness of the tongue], tr̥ṣṇā [thirst], aruciḥ [tastelessness]",masūrikā due to vāta
ED-6.3,pittajamasUrikA,पित्तजमसूरिका,-,"the disorder is characterized by rakta-sphōṭaḥ [red eruptions], pīta-sphōṭāḥ [yellow eruptions], asita-sphōṭaḥ [blackish eruptions], dāhaḥ [burning sensation], tīvravēdanā [severe pain], acirapākaḥ [suppurates quickly], viḍbhēdaḥ [altered stools/loose motions], aṅgamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akṣirāgaḥ [redness in the eyes], tīvra jvaraḥ [severe fever], sudāruṇajvaraḥ [very distressing and high fever]",masūrikā due to pitta
ED-6.4,kaPajamasUrikA,कफजमसूरिका,-,"the disorder is characterized by kaphaprasēkaḥ [salivation], staimityam [a sensation of being covered with wet clothes], śirōruk [headache], gātragauravam [heaviness of the limbs], hr̥llāsaḥ [nausea], aruciḥ [tastelessness], nidrā [sleep], tandrā [drowsiness/lassitude], ālasyam [lethargy], śvētapiḍakā [white], snigdhapiḍakā [unctuous apprearance of eruptions], sthūlapiḍakā/bhr̥śasthūlaḥ [large eruptions], kaṇḍūraḥ [associated with an itching sensation], mandavēdanā [mild pain], cirapākī [take a long time to suppurate]",masūrikā due to kapha
ED-6.5,tridoShajamasUrikA,त्रिदोषजमसूरिका,-,"the disorder is characterized by nīlā [blue eruptions], cipiṭavistīrṇā [flat eruption], madhyē nimnā [depresssed in the centre], mahārujā [severe pain], cirapākā [take a long time to suppurate], prabhūtapūtisrāvaḥ [exccessive pus discharge], kaṇṭharōdhaḥ [obstruction of throat], aruciḥ [tastelessness], stambhaḥ [rigidity/stiffness], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aratiḥ [distress/dicontent/restlessness]",masūrikā due to three dōṣa
ED-6.6,raktajamasUrikA,रक्तजमसूरिका,-,"the disorder is characterized by rakta-sphōṭaḥ [red eruptions], pīta-sphōṭāḥ [yellow eruptions], asita-sphōṭaḥ [blackish eruptions], dāhaḥ [burning sensation], tīvravēdanā [severe pain], acirapākaḥ [suppurates quickly], viḍbhēdaḥ [altered stools/loose motions], aṅgamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akṣirāgaḥ [redness in the eyes], tīvra jvaraḥ [severe fever], sudāruṇajvaraḥ [very distressing and high fever]",masūrikā due to rakta
ED-6.7,saptadhAtugatamasUrikA,सप्तधातुगतमसूरिका,-,-,masūrikā affecting seven dhātu
ED-6.7.1,tvakgatamasUrikA/rasadhAtugatamasUrikA,त्वक्गतमसूरिका/रसधातुगतमसूरिका,-,"the disorder is characterized by tōyabudbudasaṅkāśapiḍakā [vesicles appear like bubble in the water], bhinnē tōyasrāvaḥ [watery discharge on rupture of vesicles], svalpadōṣaḥ [less severity]",masūrikā afflicting rasa
ED-6.7.2,raktajamasUrikA,रक्तजमसूरिका,-,"the disorder is characterized by lōhitākārapiḍakā [blood like appearance], śīghrapākāḥ [sudden onset of suppuration], tanutvak [thin skin], bhinnā raktaṁ sravanti [discharge of blood on rupture], na atyarthaduṣṭaḥ [not much severe]",masūrikā due to rakta
ED-6.7.3,mAMsagatamasUrikA,मांसगतमसूरिका,-,"the disorder is characterized by kaṭhina-piḍakā [hard eruptions], snigdha-piḍakā [unctuous apprearance of eruptions], cirapākaḥ [take a long time to suppurate], ghanatvak [thick skin], gātraśūlaḥ [body pain], tr̥ṣā [thirst], kaṇḍūḥ [itching], jvaraḥ [fever], aratiḥ [distress/dicontent/restlessness]",masūrikā afflicting māṁsa
ED-6.7.4,medogatamasUrikA,मेदोगतमसूरिका,-,"the disorder is characterized by maṇḍalākāra-piḍakā [rounded eruptions], mr̥du-piḍakā [soft on touch], kiñcit unnatam [slightly raised], ghōra jvaraparītam [associated with severe fever], sthūlaḥ [broad], snigdhapiḍakā [unctuous apprearance of eruptions], savēdanaḥ [associated with pain], sammōhaḥ [unconsciousness/confusion], aratiḥ [distress/dicontent/restlessness], santāpaḥ [burning sensation]",masūrikā afflicting mēdas
ED-6.7.5,asthigatamasUrikA,अस्थिगतमसूरिका,-,"the disorder is characterized by kṣudra-piḍakā [small sized eruptions], gātrasamaḥ [colour of eruptions similar to skin], rūkṣaḥ [dry eruptions], cipiḍā [flat eruptions], kiñcidunnataḥ [slightly raised eruptions], bhr̥śasaṁmōhaḥ [marked confusion], vēdanā [pain], arati-saṁyutaḥ [severe distress/dicontent/restlessness], marmacchēdaḥ [affects /damage of marmasthāna (vital parts)], āśu-prāṇa-haraḥ [causes sudden death], bhramarēṇa iva viddhāni asthīni [pain in bones as if bitten by bee]",masūrikā afflicting asthi
ED-6.7.6,majjAgatamasUrikA,मज्जागतमसूरिका,-,"the disorder is characterized by kṣudra-piḍakā [small sized eruptions], gātrasamaḥ [colour of eruptions similar to skin], rūkṣaḥ [dry eruptions], cipiḍā [flat eruptions], kiñcidunnataḥ [slightly raised eruptions], bhr̥śasaṁmōhaḥ [marked confusion], vēdanā [pain], arati-saṁyutaḥ [severe distress/dicontent/restlessness], marmacchēdaḥ [affects /damage of marmasthāna (vital parts)], āśu-prāṇa-haraḥ [causes sudden death], bhramarēṇa iva viddhāni asthīni [pain in bones as if bitten by bee]",masūrikā afflicting majjā
ED-6.7.7,SukragatamasUrikA,शुक्रगतमसूरिका,-,"the disorder is characterized by pakkabhāḥ(piḍakā) [suppurated appearance of eruptions], snigdha-piḍakā [unctuous apprearance of eruptions], sūkṣma-piḍakā [minute eruptions], atyarthavēdanā [extremely painful], staimityam [a sensation of being covered with wet clothes], aratiḥ [distress/dicontent/restlessness], saṁmōhaḥ [unconsciousness/confusion], dāhaḥ [burning sensation], unmādasamanvitaḥ [associated with insanity], dr̥śyatē na tu jīvitam [causes death]",masūrikā afflicting śukra
ED-6.8,laghu-masUrikA,लघु-मसूरिका,-,-,chicken pox
ED-6.9,asAdhya-masUrikA,असाध्य-मसूरिका,-,"the disorder is characterized by pravālasadr̥śaḥ [having appearance similar to coral], jambūphalōpamaḥ [having appearance similar to jambūphalaḥ], lōhajālasamaḥ [having appearance similar to lōhajāla], atasīphalasannibhaḥ [having appearance similar to atasīphala], bahuvidhavarṇaḥ [having numerous colours], kāsaḥ [cough], hikkā [hiccup], pramōhaḥ [fainting/severe confusion], tīvrasudāruṇajvaraḥ [severe and fatal fever], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aratiḥ [distress/dicontent/restlessness], mūrcchā [syncope/attacks of swooning], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], atighūrṇatā [abnormal appearance of eyes], mukhēna raktasrāvaḥ [bleeding from the mouth], nāsikābhyāṁ raktasrāvaḥ [bleeding through nose], cakṣuṣā raktasrāvaḥ [bleeding from eyes], kaṇṭhē ghurghurakaḥ [making ghur-ghur sound], śvasityatyarthavēdanam [painful breathing]",incurable masūrikā
ED-7.1,raktapitta-pUrvarUpam,रक्तपित्त-पूर्वरूपम्,-,"the disorder is characterized by anannābhilāṣaḥ [disinclination for food], bhuktasya vidāhaḥ [heartburn after having food], śuktagandharasōdgāraḥ [fermented smell and taste in belch], amlagandharasōdgāraḥ [sour smell and taste in belch], abhīkṣṇaṁ cchardiḥ [frequent vomiting], charditasya baibhastyam [abhorrence towards vomitus], svarabhēdaḥ [hoarseness of voice], gātrāṇāṁ sadanam [weakness of body], paridāhaḥ [severe burning sensation], mukhāt dhūṁmāgamanamiva [feels as if fumes are coming from the mouth], lōhagandhāsyatvam [metallic smell in the mouth], lōhitagandhāsyatvam [smell of blood in the mouth], matsyagandhāsyatvam [fishy smell in the mouth], āmagandhāsyatvam [rancid smell in the mouth], rakta/harita/hāridra aṅgāvayavaḥ/varṇatā nayanādiṣu [reddish/greenish or yellowish discoloration of body parts/eyes etc.], rakta/harita/hāridra śakr̥t [reddish/greenish or yellowish discoloration of fecal matter], rakta/harita/hāridra mūtram [reddish/greenish or yellowish discoloration of urine], rakta/harita/hāridra svēdaḥ [reddish/greenish or yellowish discoloration of sweat], rakta/harita/hāridra lālā [reddish/greenish or yellowish discoloration of saliva], rakta/harita/hāridra siṅghāṇakaḥ [reddish/greenish or yellowish discoloration of nasal excreta], rakta/harita/hāridra āsyamalaḥ [reddish/greenish or yellowish discoloration of oral excreta], rakta/harita/hāridra karṇamalaḥ [reddish/greenish or yellowish discoloration of cerumen], rakta/harita/hāridra piḍakōlikā [reddish/greenish or yellowish discoloration of excreta of eye.], rakta/harita/hāridra piḍakā [reddish/greenish or yellowish discoloration of eruptions], aṅgavēdanā [body pain], abhīkṣṇaṁ lōhita-nīla-pīta-śyāva arciṣmatāṁ rūpāṇāṁ darśanam/svanē nīla-lōhita-pītavarṇānāṁ darśanam [seeing reddish/bluish/yellowish/blackish and sometimes shining objects in dreams], sadanam [exhaustion], śītakāmitvam/śītēcchā [desire for cold], kaṇṭhadhūmāyanam [fuming sensation in throat], lōhagandhi niḥśvāsaḥ [metallic odour in breath], śirōgurutvam [heavyness of head], aruciḥ [tastelessness], dhūmakaḥ [fuming sensation on belching], amlakaḥ [sour belching/eructation], kāsaḥ [cough], śvāsa [breathlessness/difficult breathing], bhramaḥ [giddiness or dizziness], klamaḥ [exhaustion without exertion], svarakṣayaḥ [diminution of voice/loss of voice], nīlalōhitapītānāṁ varṇānāṁ avivēcanam [inability to differentiate blue, red and yellow colours]",prodromes of raktapitta
ED-7.10,raktapitta-upadravaH,रक्तपित्त-उपद्रवः,-,-,complications of raktapitta
ED-7.11,raktapitta-ariShTaH,रक्तपित्त-अरिष्टः,-,-,fatal signs of raktapitta
ED-7.2,Urdhvaga-raktapittam,ऊर्ध्वग-रक्तपित्तम्,-,"the disorder is characterized by karṇāt rakta pracyavanam [bleeding through ear], nāsikāt rakta pracyavanam [bleeding through nose], nētrāt rakta pracyavanam [bleeding through eyes], āsyāt rakta pracyavanam [bleeding through mouth]",upward-raktapitta
ED-7.3,adhoga-raktapittam,अधोग-रक्तपित्तम्,-,"the disorder is characterized by gudāt raktasrāva [bleeding per rectum], mēḍhrāt raktasrāva [bleeding through penis], yōnitaḥ raktasrāvaḥ [bleeding through vagina]",downward-raktapitta
ED-7.4,uBayaga-raktapittam,उभयग-रक्तपित्तम्,-,-,bidirectional-raktapitta
ED-7.5,vAtajaraktapittam,वातजरक्तपित्तम्,-,"the disorder is characterized by śyāvaraktapravr̥ttiḥ [blacksh blood discharge], aruṇaraktapravr̥ttiḥ [slightly reddish blood discharge], saphēnaraktapravr̥ttiḥ [frothy blood discharge], tanuraktapravr̥ttiḥ [reduced viscocity of bood discharge], rūkṣaraktapravr̥ttiḥ [reduced unctoousness of bood discharge]",raktapitta due to vāta
ED-7.6,pittajaraktapittam,पित्तजरक्तपित्तम्,-,"the disorder is characterized by kaṣāyābha-raktapravr̥ttiḥ [ochre coloured blood discharge], kr̥ṣṇa-raktapravr̥ttiḥ [black coloured blood discharge], gōmūtrasannibha-raktapravr̥ttiḥ [blood discharge resembling colour of cow's urine], mēcakāgāradhūmābha-raktapravr̥ttiḥ [blood like eyes of peacocks tail or else may be like soot or collyrium], añjanābha-raktapravr̥ttiḥ [blood discharge resembling collyrium]",raktapitta due to pitta
ED-7.7,kaPajaraktapittam,कफजरक्तपित्तम्,-,"the disorder is characterized by sāndra-raktapravr̥ttiḥ [a viscid blood passing], sapāṇḍu-raktapravr̥ttiḥ [pale blood passing], sasnēha-raktapravr̥ttiḥ [oleaginous blood passing], picchila-raktapravr̥ttiḥ [sleepary blood passing], kaphānvita-raktapravr̥ttiḥ [mucoid blood passing]",raktapitta due to kapha
ED-7.8,sAnnipAtika-raktapittam,सान्निपातिक-रक्तपित्तम्,-,the disorder is characterized by saṁsr̥ṣṭaliṅgam [mixed symptoms of all types of raktapitta],raktapitta due to three dōṣa.
ED-7.9,asAdhyaraktapittam,असाध्यरक्तपित्तम्,-,-,intractable raktapitta
ED-8(SP11),vAtaraktam,वातरक्तम्,-,-,Rheumatism disorder due to blood (TM2) ⇒
ED-8.1,vAtarakta-pUrvarUpam,वातरक्त-पूर्वरूपम्,-,"the disorder is characterized by svēdaḥ atyartham [excessive sweating], asvēdaḥ [anhidrosis/lack of sweating], kārṣṇyam [blackish discoloration of body], sparśājñatvam [loss of touch sensation], kṣatēऽtiruk [severe pain on injury/when hit], sandhiśaithilyam [dislocation of joint/lax joints], ālasyam [lethargy], sadanam/sādaḥ [exhaustion], piḍakōdgamaḥ [appearance of eruptions], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi nistōdaḥ [pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi sphuraṇam [tremors in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi bhēdaḥ [splitting pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi gurutvam [heaviness in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi suptiḥ [numbness in knee/leg/thigh/shoulder/hands/feet/body parts or joints], kaṇḍūḥ [itching], sandhiṣu ruk [pain in joints], bhūtvā bhūtvā naśyati vā asakr̥t [repeated sudden onset], vaivarṇyam [discolouration], maṇḍalōtpattiḥ [appearance of rounded eruptions], ślathāṅgatā [flaccidity/laxity in body parts]",prodromesof vātarakta
ED-8.2,uttAna-vAtaraktam,उत्तान-वातरक्तम्,-,"the disorder is characterized by kaṇḍūḥ [itching], dāhaḥ [burning sensation], ruk [pain], āyāmaḥ [feeling of stretching], tōdaḥ [pricking pain], sphuraṇam [pulsating sensation], kuñcanam [contraction], śyāvaraktā tvak [brownish black discoloration of skin], tvagbāhyē tāmrā [coppery discoloration on exterior of skin], lōhita-tvak [reddish discoloration of skin]",superficial- vātarakta
ED-8.3,gamBIra-vAtaraktam,गम्भीर-वातरक्तम्,-,"the disorder is characterized by śvayathuḥ [swelling], stabdhaḥ [stiffness], kaṭhinaḥ/grathitaḥ [hardness], bhr̥śam artiḥ [sudden onset of pain], śyāvaḥ [bluish black colour], tāmravarṇaḥ [copper colour], dāhaḥ [burning sensation], tōdaḥ [pricking pain], sphuraṇam [pulsating sensation], pākaḥ [inflammation/suppuration], rujā [pain], vidāhaḥ [internal burning sensation], khañjatā [lameness], pāṅgulyam [limping of both leg], vakratā [deformities]",deep- vātarakta
ED-8.4,uBayajavAtarakta,उभयजवातरक्त,-,-,binary vātarakta
ED-8.5,doShajavAtaraktam,दोषजवातरक्तम्,-,-,vātarakta due to dōṣa
ED-8.5.1(SP11),vAtajavAtaraktam,वातजवातरक्तम्,-,-,Rheumatoid arthritis disorder due to blood (TM2) ⇒
ED-8.5.2(SP14),pittaja-vAtaraktam,पित्तज-वातरक्तम्,-,"It is characterised by pain, swelling and tenderness of the foot especially great toe. This may be explained by: (a) Derangement of vata and blood associated with pitta.",Gout disorder (TM2)
ED-8.5.3,kaPajavAtaraktam,कफजवातरक्तम्,-,"the disorder is characterized by staimityam [a sensation of being covered with wet clothes], gurutā [heaviness], suptiḥ [insensitive to touch], snigdhatvam [unctuousness of body], śītatāḥ [coldness], kaṇḍūḥ [itching], mandaruk [mild pain]",vātarakta due to kapha
ED-8.5.4,raktajavAtaraktam,रक्तजवातरक्तम्,-,"the disorder is characterized by śōthē atiruk [severe pain in the swelling], śōthē atitōdaḥ [pricking pain in the swelling], tāmraśōthaḥ [coppery coloured swelling], cimicimāyanam [tingling sensation], snigdha-rukṣaiḥ na śamanam (śōphasya) [it subsides neither with fatty nor with dry medicaments], kaṇḍūḥ [itching], klēdasamanvitaḥ(śōphaḥ) [moist discharge/wetness]",vātarakta due to rakta
ED-8.5.5,dvidoShaja-vAtaraktam,द्विदोषज-वातरक्तम्,-,-,vātarakta due to two dōṣa
ED-8.5.6,tridoShajavAtaraktam,त्रिदोषजवातरक्तम्,-,-,vātarakta due to three dōṣa
ED-8.6,kRucCrasAdhya-vAtaraktam,कृच्छ्रसाध्य-वातरक्तम्,-,-,difficult to manage vātarakta
ED-8.7,asAdhya-vAtaraktam,असाध्य-वातरक्तम्,-,"the disorder is characterized by asvapnaḥ [insomnia/sleeplessness], arōcakaḥ [tastelessness], śvāsaḥ [breathlessness/difficult breathing], māṁsakōthaḥ [suppuration of māṁsa], śirōgrahaḥ [stiffness of head], mūrcchā [syncope/attacks of swooning], madaḥ [intoxication], rujā [pain], tr̥̄ṣṇā [thirst], jvaraḥ [fever], mōhaḥ [semiconsciousness or stupefaction], vēpanam [shivering/tremors], hikkā [hiccup], pāṅgulyam [limping of both legs in paraplegia], visarpaḥ [spreading cellulitis/erysipelas], pākaḥ [inflammation/suppuration], tōdaḥ [pricking pain], bhramaḥ [giddiness or dizziness], klamaḥ [exhaustion without exertion], aṅgulīvakratā [deformity of fingers], sphōṭaḥ [blister], dāhaḥ [burning sensation], marmagrahaḥ [afflicted with marma site], arbudaḥ [tumor], mōhaḥ [confusion/delirium], saṁprasrāvī [oozing of discharges], vivarṇam [discolouration], stabdham [stiffness], arbudakr̥t [leading to tumour]",intractable vātarakta
ED-8.8,vAtarakta-upadravaH,वातरक्त-उपद्रवः,-,-,complications of vātarakta
ED-8.9,vAtarakta-ariShTaH,वातरक्त-अरिष्टः,-,-,fatal sign of vātarakta
ED-9,vidradhiH,विद्रधिः,-,"the disorder is characterized by gambhīrasthaḥ/mahāmūlaḥ sudāruṇaḥ granthiḥ [deep seated fatal swelling], hr̥dyē tīvravēdanā [severe pain in cardiac region], klōmni tīvravēdanā [severe pain in klōma], yakr̥ti tīvravēdanā [severe pain in liver region], plīhni tīvravēdanā [severe pain in splenic region], kukṣau tīvravēdanā [severe pain in flanks], vr̥kkayōḥ tīvravēdanā [severe pain in renal region], nābhyāṁ tīvravēdanā [severe pain in navel region], vaṅkṣaṇē tīvravēdanā [severe pain in groins], bastau tīvravēdanā [severe pain in basti/urinary bladder region], śīghravidāhaḥ [sudden onset of suppuration], śōpham [odema], vr̥ttaśōpham [rounded swelling], āyataśōpham [lengthened swelling]",abscess
ED-9.1,vAtajavidradhiH,वातजविद्रधिः,-,"the disorder is characterized by kr̥ṣṇa-varṇaḥ (śōphaḥ) [black swelling], aruṇa-varṇaśōphaḥ [slightly red coloured swelling], paruṣaśōphaḥ [rough oedema], bhr̥śamatyarthavēdanaḥ [excessively severe pain], citrōtthānaprapākaḥ/cirōtthānapākaḥ [varied types of onset and suppuration], tanusrāvaḥ [thin watery discharge], rūkṣasrāvaḥ [less unctuous discharge], aruṇasrāvaḥ [slightly reddish coloured discharge], śyāvavarṇasrāvaḥ [blackish coloured discharge], phēnilasrāvaḥ [frothy discharge], vyadhaḥ [penetrating type of pain], chēdaḥ [cutting type of pain], bhramaḥ [giddiness or dizziness], ānāhaḥ [barborygmus with distention], śabdaḥ/śabdavān [sound from swelling], sphuraṇam/spandaḥ [pulsating sensation], sarpaṇam [spreading nature of swelling], śyāvavarṇaśōphaḥ [blackish discoloration of swelling], viṣamasaṁsthitiḥ [irregular appearance]",vidradhī due to vāta
ED-9.10,adhoga-vidradhiH,अधोग-विद्रधिः,-,-,lower-body vidradhī
ED-9.11,pakva-vidradhiH,पक्व-विद्रधिः,-,-,pakva state of vidradhī
ED-9.12,asAdhya-vidradhiH,असाध्य-विद्रधिः,-,-,intractable vidradhī
ED-9.13,vidradhi-ariShTaH,विद्रधि-अरिष्टः,-,-,fatal signs of vidradhī
ED-9.2,pittajavidradhiH,पित्तजविद्रधिः,-,"the disorder is characterized by pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]",vidradhī due to pitta
